(8,UP,3.5)
(5,DOWN,6.0)
(9,UP,9.0)
(2,DOWN,13.5)
(3,UP,15.0)
(8,UP,20.5)
(6,DOWN,22.5)
(8,UP,24.5)
(9,UP,26.0)
(5,DOWN,32.0)
(3,DOWN,37.0)
(6,UP,39.5)
(8,UP,41.5)
(1,DOWN,46.0)
(8,UP,51.5)
(6,DOWN,53.5)
(9,UP,56.0)
(9,STILL,58.0)
(1,DOWN,62.0)
(8,UP,66.5)
(2,DOWN,70.5)
(6,UP,73.5)
(10,UP,78.0)
(6,DOWN,84.0)
(5,DOWN,85.5)
(7,UP,87.5)
(7,STILL,89.5)
(2,DOWN,92.0)
(6,UP,95.0)
(8,UP,97.0)
(7,DOWN,98.5)
(1,DOWN,105.0)
(9,UP,110.0)
(4,DOWN,113.5)
(10,UP,117.5)
(4,DOWN,121.5)
(3,DOWN,126.5)
(8,UP,134.5)
(2,DOWN,138.5)
(1,DOWN,140.0)
(2,UP,141.5)
(3,UP,143.0)
(9,UP,153.0)
(9,STILL,155.0)
(1,DOWN,160.0)
(2,UP,161.5)
(3,UP,163.0)
(2,DOWN,166.5)
(6,UP,174.0)
(8,UP,176.0)
(3,DOWN,184.5)
(6,UP,187.0)
(2,DOWN,190.0)
(8,UP,197.0)
(4,DOWN,200.0)
(7,UP,202.5)
(4,DOWN,205.0)
(8,UP,208.0)
(4,DOWN,214.0)
(6,UP,216.0)
(6,STILL,223.0)
(3,DOWN,225.5)
(10,UP,230.0)
(6,DOWN,234.0)
(7,UP,235.5)
(3,DOWN,238.5)
(2,DOWN,242.5)
(8,UP,247.0)
(8,STILL,251.0)
(7,DOWN,258.5)
(1,DOWN,267.0)
(6,UP,272.5)
(4,DOWN,275.0)
(10,UP,285.0)
(7,DOWN,289.5)
(9,UP,293.0)
(4,DOWN,302.5)
(1,DOWN,307.5)
(7,UP,313.0)
(6,DOWN,314.5)
(4,DOWN,319.0)
(3,DOWN,320.5)
(5,UP,323.0)
(9,UP,330.0)
(7,DOWN,337.0)
(1,DOWN,343.0)
(2,UP,344.5)
(2,STILL,353.0)
(7,UP,362.5)
(10,UP,365.0)
(9,DOWN,366.5)
(5,DOWN,370.0)
(10,UP,373.5)
(3,DOWN,381.5)
(6,UP,385.5)
(9,UP,389.5)
(5,DOWN,394.0)
(8,UP,396.5)
(3,DOWN,402.5)
(6,UP,405.0)
(5,DOWN,406.5)
(3,DOWN,413.0)
(8,UP,418.5)
(2,DOWN,423.0)
(2,STILL,429.0)
(7,UP,432.5)
(4,DOWN,435.0)
(3,DOWN,438.5)
(2,DOWN,440.0)
(8,UP,449.0)
